YB,YB_long,YB_lat,8umphotom,12umphotom,24umphotom,70umphotom,8flag1,12flag1,24flag1,70flag1
ID Number,degree,degree,Jy,Jy,Jy,Jy,Saturated,Saturated,Saturated,Saturated
1,-0.041432958,0.167050008,2.21709,0.80691,2.51594,19.10756,0,0,0,0
2,-0.023111213,0.169159859,5.53402,0.46913,,102.5091,0,0,1,0
3,0.040875613,0.020200699,4.13817,,,60.40779,0,1,1,0
4,0.186036858,-0.611813504,0.23123,0.13993,0.81035,5.19222,0,0,0,0
5,0.200750902,-0.513360793,0.47689,0.0809,0.2949,12.94419,0,0,0,0
6,0.209509309,-0.001949522,1.47211,0.37354,,164.25768,0,0,1,0
7,0.279043238,-0.484630374,12.65728,3.15919,,632.52069,0,0,1,0
8,0.313508954,-0.203541295,8.72113,,,795.36263,0,1,1,0
9,0.314133033,-0.192718231,17.53866,,,519.68371,0,1,1,0
10,0.331705943,-0.062484792,4.99364,,,82.57486,0,1,1,0
11,0.336513676,-0.013365488,11.38361,,,69.98185,0,1,1,0
12,0.381538385,0.016557297,5.44369,,,313.60932,0,1,1,0
13,0.410835395,-0.059523745,1.03491,0.93066,,30.03952,0,0,1,0
14,0.467861281,-0.675211245,0.63802,0.06819,0.22766,5.97405,0,0,0,0
15,0.470496721,-0.055056059,5.28835,-0.90852,,93.03956,0,0,1,0
16,0.479391879,0.073992663,1.04932,1.31767,,28.84061,0,0,1,0
17,0.489693602,-0.074343193,14.77775,,,122.32203,0,1,1,0
18,0.503642286,-0.788771411,0.86138,0.2607,2.59831,20.736,0,0,0,0
19,0.528318062,0.181778051,1.44161,0.63058,,256.61335,0,0,1,0
20,0.532688594,0.168534616,0.76576,0.24877,3.47206,47.1825,0,0,0,0
21,0.534372743,-0.082052388,9.87888,,,117.82808,0,1,1,0
22,0.544797809,-0.84227851,0.99941,0.16857,,14.6147,0,0,1,0
23,0.545292155,-0.847688094,-0.91217,,,-511.9438,0,1,1,0
24,0.546447128,-0.851175796,4.91736,,,2719.80238,0,1,1,0
25,0.551001286,-0.85213406,2.84215,,,109.43766,0,1,1,0
26,0.563255078,-0.854075899,10.66253,,,288.68899,0,1,1,0
27,0.582542191,-0.870940308,1.86643,,,10.98133,0,1,1,0
28,0.591257836,0.049896932,0.32465,0.43345,11.24298,28.48443,0,0,0,0
29,0.602098065,-0.050016751,9.59873,,,721.68005,0,1,1,0
30,0.630839294,-0.027189752,3.72578,0.8224,,234.46238,0,0,1,0
31,0.640261431,-0.112105302,2.42637,0.34722,,23.56887,0,0,1,0
32,0.65488722,-0.068756682,0.24623,0.12455,2.2444,14.11461,0,0,0,0
33,0.666360945,-0.050347657,0.52846,0.18471,,38.56863,0,0,1,0
34,0.669359903,-0.035040541,1.37899,0.62004,,7635.05551,0,0,1,0
35,0.681024796,-0.034553308,0.73786,0.17607,5.20442,130.8552,0,0,0,0
36,0.692672725,-0.045339289,1.19742,0.78896,,268.17717,0,0,1,0
37,0.697988603,-0.050771984,0.2354,0.4057,,12.87122,0,0,1,0
38,0.835652994,0.18474578,0.76111,0.23705,3.44166,94.63031,0,0,0,0
39,0.88404305,0.054338056,0.2137,0.02414,0.06613,6.84677,0,0,0,0
40,1.005403724,-0.235483031,0.30867,0.0464,0.91883,39.3919,0,0,0,0
41,1.049377923,-0.069734324,0.18013,0.03952,0.30643,8.6934,0,0,0,0
42,1.125983211,-0.106474644,18.35457,,,813.70336,0,1,1,0
43,1.12828771,-0.360356185,0.12211,0.00748,0.05682,6.58341,0,0,0,0
44,1.138340057,0.807983763,0.90771,0.68447,6.7615,59.35465,0,0,0,0
45,1.143067838,-0.27625245,0.18304,0.03486,0.0826,1.98867,0,0,0,0
46,1.329646872,0.15175732,2.9579,1.33092,9.50434,72.14719,0,0,0,0
47,1.332022513,0.088246889,0.41364,0.16642,1.36002,28.72832,0,0,0,0
48,1.391253124,0.074623929,0.62071,0.1199,0.85483,32.47752,0,0,0,0
49,1.396006803,-0.006568036,0.36337,0.10958,1.93364,79.36779,0,0,0,0
50,1.488544167,-0.199085854,1.51855,0.53657,3.07807,111.35728,0,0,0,0
51,1.66328647,-0.077360405,0.25924,0.06723,0.09852,3.92825,0,0,0,0
52,1.911844773,-0.272348666,0.35996,0.25709,0.39393,16.45117,0,0,0,0
53,2.084284099,-0.577030864,0.4013,0.19109,0.6066,5.53914,0,0,0,0
54,2.141216406,0.009256721,1.08218,0.37998,5.94594,262.03709,0,0,0,0
55,2.246406972,-0.674982519,2.34193,0.53834,3.09688,38.32289,0,0,0,0
56,2.255621289,0.231755642,0.70027,0.30495,3.2226,34.17419,0,0,0,0
57,2.308571783,0.227413056,0.35646,0.53144,,25.2865,0,0,1,0
58,2.402792243,0.068591367,2.76275,1.20492,,99.45853,0,0,1,0
59,2.405961455,0.062304577,0.29539,0.11438,1.23058,6.849,0,0,0,0
60,2.44419918,0.130975133,0.51653,0.09795,0.40441,10.21058,0,0,0,0
61,2.502895351,-0.044406174,0.49861,0.10096,0.69879,24.61768,0,0,0,0
62,2.590061761,0.126997043,1.46541,0.98119,1.65369,0.79997,0,0,0,0
63,2.61405845,0.133350863,3.90046,1.06223,,338.00463,0,0,1,0
64,2.67676297,0.031424145,0.06003,0.04066,0.22353,3.60521,0,0,0,0
65,2.683329201,0.137807888,1.7705,0.25789,2.93411,56.81665,0,0,0,0
66,2.699731438,-0.059206487,0.34558,0.11307,0.19749,9.80468,0,0,0,0
67,2.736494419,-0.081789268,0.30377,0.15509,0.82737,21.40715,0,0,0,0
68,2.887527785,0.276793425,0.29673,0.10286,0.45005,12.95035,0,0,0,0
69,2.893489083,0.023687762,0.89179,0.45469,6.14165,63.00216,0,0,0,0
70,2.962397653,-0.057400563,1.08164,0.30658,1.26817,54.16305,0,0,0,0
71,3.207519135,-0.10739046,0.25863,0.06718,0.69815,30.20762,0,0,0,0
72,3.245422582,-0.089460781,0.41962,0.0533,0.6326,17.2435,0,0,0,0
73,3.24948384,-0.08490331,0.15157,0.03981,0.44088,12.89319,0,0,0,0
74,3.315251639,-0.41699331,0.85287,0.2007,0.73492,11.31764,0,0,0,0
75,3.349619341,-0.078058481,4.8848,,,584.54657,0,1,1,0
76,3.393429587,0.879851488,0.57191,0.21281,0.75656,6.908,0,0,0,0
77,3.395180016,0.89407371,0.3809,0.13307,0.22976,3.25259,0,0,0,0
78,3.554929253,-0.808051912,0.66319,0.11973,0.26321,6.52308,0,0,0,0
79,3.555624765,-0.798866599,0.22055,0.05935,0.10389,2.66784,0,0,0,0
80,3.564975768,0.173661713,0.10623,0.03734,0.08634,4.01249,0,0,0,0
81,3.579924515,-0.227534776,0.12564,0.01728,0.11807,2.99133,0,0,0,0
82,3.644235525,-0.21682119,0.15927,0.02683,0.06699,3.49276,0,0,0,0
83,3.649007952,0.088001115,0.12982,0.08743,0.31786,5.32346,0,0,0,0
84,3.649621177,-0.126232518,0.17463,0.00463,0.16084,14.69803,0,0,0,0
85,3.660843944,-0.113249653,0.56005,0.32355,4.39941,66.4534,0,0,0,0
86,3.689552727,-0.27045263,1.15947,0.22972,1.02724,14.84049,0,0,0,0
87,3.720380205,0.01508827,1.16013,0.55152,4.39024,69.65426,0,0,0,0
88,3.741250307,0.022807223,0.29706,0.08466,0.60329,12.9491,0,0,0,0
89,3.765597406,0.039270823,0.24534,0.09761,0.35726,9.05108,0,0,0,0
90,3.830031796,-0.138432824,1.22256,0.38299,6.60007,18.89611,0,0,0,0
91,3.91197972,-0.000527707,1.25435,0.54812,7.16604,232.51794,0,0,0,0
92,3.92713793,-0.116284552,1.04798,1.09972,,59.45973,0,0,1,0
93,3.935777002,-0.003676443,1.46403,0.64815,2.96003,33.36059,0,0,0,0
94,3.943835694,0.004602282,0.62203,0.27308,0.9066,8.44746,0,0,0,0
95,3.960926782,-0.111714875,0.17282,0.04157,0.17011,5.52735,0,0,0,0
96,4.000051471,0.337639313,7.25525,1.60379,,130.00917,0,0,1,0
97,4.014450999,-0.034105823,1.17514,0.11142,,11.42273,0,0,1,0
98,4.144971064,-1.032935219,0.13442,0.0409,0.0414,0.02022,0,0,0,0
99,4.166939914,-0.187173142,0.25021,0.07885,0.17473,7.61802,0,0,0,0
100,4.195249064,-0.051305843,1.8399,0.70461,2.68765,67.08663,0,0,0,0
101,4.201830305,-0.028413637,0.75493,0.37831,0.72569,32.51128,0,0,0,0
102,4.2851269,0.03249735,0.41639,0.18453,0.87677,19.18929,0,0,0,0
103,4.332963268,-0.195332813,0.2399,0.02615,0.06156,6.63736,0,0,0,0
104,4.389266461,-0.358680289,0.24667,0.083,0.19849,7.04852,0,0,0,0
105,4.400519656,-0.332653644,0.43627,0.17667,0.13343,0.08365,0,0,0,0
106,4.402762393,-0.358423829,0.41539,0.11152,0.27126,6.97158,0,0,0,0
107,4.415523985,0.125639033,0.83814,-0.01826,,79.51425,0,0,1,0
108,4.493305264,-0.949898386,0.39573,0.13679,0.07883,0.05587,0,0,0,0
109,4.499263932,-0.949862011,0.18749,0.03394,0.19675,0.22181,0,0,0,0
110,4.53312522,0.3614807,1.09677,0.27497,0.53219,15.66959,0,0,0,0
111,4.564817992,-0.129521848,5.25814,1.1249,4.29023,2.2056,0,0,0,0
112,4.610319405,0.179272841,0.29429,0.063,0.17488,10.55685,0,0,0,0
113,4.716393147,-0.011474385,0.12381,0.01527,0.07011,4.26435,0,0,0,0
114,4.823156887,-0.074981552,0.1106,0.04011,0.14162,4.37869,0,0,0,0
115,4.886872709,0.045221296,0.31157,0.11718,0.50019,9.0403,0,0,0,0
116,4.985417289,-1.390043464,0.28418,0.00715,0.10968,,0,0,0,1
117,5.033804599,0.141742885,0.09056,0.0064,0.02264,1.85108,0,0,0,0
118,5.037973341,0.143216887,0.26395,0.04178,0.07736,2.91858,0,0,0,0
119,5.0482606,-0.194286952,1.00502,0.32335,2.12691,26.65161,0,0,0,0
120,5.06016756,-0.274515762,0.15151,0.30196,1.73044,17.60019,0,0,0,0
121,5.065884093,-0.043484565,0.23799,0.08894,0.15737,4.52787,0,0,0,0
122,5.075599989,-0.093427428,0.35468,0.10785,0.89172,25.0521,0,0,0,0
123,5.107032972,-0.107105488,0.47444,0.18285,1.03953,13.39345,0,0,0,0
124,5.175448497,0.233764397,3.08447,1.3788,4.554,1.1197,0,0,0,0
125,5.186578979,-0.082574732,0.96245,0.33643,2.94024,39.29063,0,0,0,0
126,5.190226579,-0.283771418,0.83421,0.52304,3.63409,50.71818,0,0,0,0
